interview_date,child_age_years,child_birthday,EC6,EC7,EC8,EC9,EC10,EC11,EC12,EC13,EC14,EC15
3/7/2019,3,4/27/2015,2,2,2,1,2,2,1,1,2,2
3/7/2019,3,4/30/2015,2,2,2,1,2,1,1,1,1,1
3/7/2019,4,2/3/2015,2,2,2,1,2,2,1,1,1,2
3/7/2019,4,10/29/2014,2,2,2,1,1,1,2,1,1,1
3/11/2019,4,3/27/2014,2,2,2,1,1,1,2,1,2,1
3/11/2019,3,3/2/2016,2,2,2,1,2,2,2,2,1,1
3/12/2019,4,11/11/2014,2,2,2,1,2,1,1,1,1,1
3/12/2019,4,11/11/2014,2,2,2,1,2,1,1,1,1,1
3/11/2019,4,11/10/2014,1,1,2,1,2,1,1,1,2,1
3/11/2019,4,12/20/2014,2,2,2,1,2,1,1,1,1,1
3/11/2019,4,10/12/2014,2,2,1,1,2,1,1,1,2,1
3/10/2019,3,3/18/2015,2,2,2,1,2,1,1,1,2,1
3/10/2019,4,4/29/2014,2,2,2,1,2,1,1,1,2,2
3/11/2019,4,3/28/2014,2,2,2,1,1,1,2,1,1,1
3/13/2019,4,7/31/2014,2,2,2,1,2,1,2,1,2,2
3/13/2019,3,1/5/2016,2,2,2,1,2,1,2,1,2,1
3/15/2019,3,6/6/2015,2,2,2,1,1,2,2,1,1,1
3/14/2019,4,5/22/2014,2,2,2,1,2,1,1,1,1,2
3/14/2019,3,8/14/2015,2,2,2,2,2,1,1,1,1,1
3/14/2019,3,9/27/2015,2,2,2,1,2,1,1,1,2,2
3/14/2019,4,9/5/2014,2,2,1,1,2,1,1,1,2,1
3/17/2019,3,5/10/2015,2,2,2,1,1,1,1,1,1,1
3/17/2019,4,9/11/2014,2,2,2,1,2,1,1,1,2,2
3/17/2019,4,5/14/2014,2,2,2,1,1,1,1,1,2,2
3/18/2019,3,9/21/2015,2,2,2,1,2,2,2,1,1,2
3/18/2019,4,7/25/2014,2,2,1,1,2,1,1,1,2,2
3/18/2019,3,3/16/2016,2,2,2,1,1,2,2,1,1,2
2/16/2019,3,10/22/2015,2,2,2,1,1,1,1,1,2,1
2/16/2019,4,11/18/2014,2,1,1,1,2,1,1,1,1,2
2/15/2019,3,8/8/2015,2,2,2,1,2,1,1,1,1,1
2/15/2019,3,1/20/2016,2,2,2,1,1,1,1,1,1,2
2/15/2019,3,2/15/2016,2,2,2,1,2,1,2,1,1,2
2/19/2019,4,11/26/2014,2,2,2,1,2,1,1,1,1,2
2/19/2019,4,2/17/2015,2,2,2,1,1,2,2,1,1,1
2/20/2019,4,5/31/2014,2,2,2,1,1,1,1,1,1,2
2/19/2019,3,2/15/2016,2,2,2,1,1,2,2,1,1,1
2/19/2019,4,11/24/2014,2,2,1,1,2,2,1,1,1,1
2/19/2019,4,9/7/2014,2,2,2,1,1,1,2,1,2,1
2/14/2019,3,5/30/2015,2,2,2,1,2,1,1,1,2,1
2/14/2019,4,4/13/2014,2,2,2,1,1,2,2,1,2,1
2/14/2019,4,1/16/2015,1,2,2,1,2,1,2,1,1,1
2/14/2019,3,11/26/2015,2,2,2,1,2,1,1,1,2,2
2/12/2019,3,7/13/2015,2,2,2,1,2,1,2,1,1,2
2/12/2019,3,9/15/2015,2,2,2,1,1,1,2,1,2,2
2/12/2019,3,1/28/2016,2,2,2,1,2,2,2,1,1,1
2/12/2019,3,7/19/2015,2,2,2,1,2,1,1,1,2,1
1/23/2019,3,6/10/2015,2,2,2,1,1,2,2,1,2,1
1/23/2019,3,12/6/2015,2,2,2,1,2,2,2,1,1,1
1/24/2019,4,5/18/2014,2,2,2,1,1,1,1,1,1,1
1/24/2019,3,4/29/2015,2,2,2,1,1,2,2,1,1,1
1/24/2019,3,3/17/2015,2,2,2,1,1,1,1,1,2,2
1/24/2019,4,3/28/2014,2,2,2,1,2,1,1,1,2,2
1/24/2019,4,4/2/2014,2,2,1,1,1,1,1,1,1,1
1/26/2019,4,9/14/2014,2,2,2,1,2,2,2,1,2,1
1/26/2019,3,6/14/2015,2,2,2,1,2,2,2,1,2,1
2/2/2019,3,6/5/2015,2,2,2,1,1,2,1,1,1,1
2/5/2019,4,8/14/2014,2,2,2,1,2,2,2,1,1,1
2/5/2019,4,11/11/2014,2,2,2,1,1,1,2,1,1,1
2/5/2019,3,9/21/2015,2,2,2,1,2,1,2,1,1,2
2/7/2019,3,8/1/2015,2,2,2,1,2,1,1,1,2,2
2/6/2019,4,2/3/2015,2,2,2,1,1,1,2,1,2,1
2/5/2019,3,3/3/2015,2,1,2,1,1,1,1,1,2,2
2/6/2019,3,3/25/2015,2,2,2,1,2,2,2,1,1,1
2/6/2019,3,5/11/2015,2,2,2,1,1,1,1,1,2,2
2/6/2019,4,10/2/2014,2,2,2,2,1,2,2,1,1,1
2/6/2019,3,9/21/2015,2,2,2,1,1,1,2,1,1,2
2/8/2019,3,2/26/2015,2,2,2,1,2,1,1,1,2,2
2/8/2019,3,12/15/2015,2,2,2,1,2,1,1,1,1,2
2/8/2019,4,6/17/2014,2,2,2,1,1,1,1,1,1,1
2/8/2019,4,3/21/2014,2,2,2,1,2,1,1,1,1,1
2/8/2019,3,6/12/2015,2,2,2,2,2,1,1,1,1,1
2/8/2019,3,2/15/2015,2,2,2,1,1,2,2,1,2,1
2/9/2019,3,4/12/2015,2,2,2,1,2,1,2,1,1,1
2/9/2019,4,7/4/2014,2,2,2,1,1,1,1,1,1,1
2/9/2019,3,10/18/2015,2,2,2,1,2,2,2,1,1,1
2/9/2019,4,12/22/2014,2,2,2,1,2,1,1,1,2,1
2/9/2019,3,9/2/2015,2,2,2,1,2,2,1,1,1,1
1/21/2019,4,5/24/2014,2,2,2,1,1,1,1,1,1,1
1/19/2019,3,11/12/2015,2,2,2,1,1,1,1,1,1,1
1/19/2019,4,1/19/2015,1,1,1,1,1,1,1,1,1,1
1/19/2019,3,6/20/2015,2,2,2,1,2,1,1,1,1,2
1/21/2019,4,8/25/2014,2,2,2,1,1,1,1,1,1,1
1/21/2019,4,1/29/2014,2,1,1,1,2,1,1,1,1,1
1/17/2019,4,4/24/2014,2,2,2,1,1,1,2,1,2,2
1/17/2019,4,10/10/2014,2,2,2,1,1,2,2,1,2,2
1/18/2019,4,8/4/2014,2,2,2,1,2,1,1,1,1,2
1/17/2019,3,7/20/2015,2,2,2,2,2,2,2,1,2,1
1/17/2019,3,1/4/2016,2,2,2,1,1,2,2,1,1,2
1/17/2019,3,4/20/2015,2,2,2,1,1,2,2,1,1,1
1/17/2019,3,11/10/2015,2,2,2,1,2,1,1,1,1,1
1/17/2019,4,10/25/2014,2,2,2,1,1,1,1,1,1,1
1/17/2019,3,9/1/2015,2,2,2,1,1,1,1,1,1,2
1/18/2019,4,1/4/2015,2,2,2,1,2,2,2,1,1,1
1/14/2019,3,4/29/2015,2,2,2,1,1,2,2,1,2,2
1/12/2019,3,5/15/2015,2,2,2,1,1,2,2,1,1,2
1/12/2019,4,11/14/2014,2,2,2,2,1,1,1,1,1,2
1/12/2019,4,8/6/2014,2,2,2,1,1,1,1,1,1,1
1/14/2019,4,2/2/2014,2,2,2,1,1,1,1,1,2,2
1/14/2019,4,8/2/2014,2,2,2,1,1,1,1,1,1,1
1/14/2019,4,6/25/2014,2,2,1,2,1,1,2,1,2,1
1/14/2019,4,12/28/2014,2,2,2,1,2,1,1,1,1,1
1/14/2019,3,3/25/2015,2,2,2,1,2,2,2,1,1,1
4/2/2019,4,9/9/2014,2,2,2,1,2,1,2,2,1,1
4/3/2019,4,8/21/2014,2,2,2,1,2,1,2,1,2,2
4/3/2019,3,4/6/2015,2,2,2,1,2,1,1,1,2,2
4/2/2019,4,8/31/2014,2,2,2,2,2,1,1,1,1,1
4/3/2019,3,6/23/2015,2,2,2,1,2,1,1,1,1,2
